sport,event,year,athlete_id,country_id,medal
Gymnastics,Gymnastics Women's Floor Exercise,2016-01-01,4048,26,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,4048,26,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,4048,26,
Track and Field,Women's Javelin Throw,2016-01-01,4054,67,
Track and Field,"Men's 1,500 metres",2016-01-01,4070,26,
Track and Field,Women's Javelin Throw,2016-01-01,4104,146,
Track and Field,"Women's 10,000 metres",2016-01-01,4155,73,
Track and Field,"Men's 1,500 metres",2016-01-01,4159,195,
Track and Field,Men's Decathlon,2016-01-01,4171,198,
Swimming,Swimming Women's 200 metres Breaststroke,2016-01-01,4181,152,
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016-01-01,4183,152,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,4183,152,
Swimming,Swimming Women's 200 metres Individual Medley,2016-01-01,4183,152,
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,4233,152,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,4233,152,
Track and Field,Men's 800 metres,2016-01-01,4247,173,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,4248,56,
Track and Field,Women's High Jump,2016-01-01,4310,136,
Swimming,Swimming Men's 100 metres Freestyle,2016-01-01,4379,150,
Swimming,Swimming Men's 100 metres Butterfly,2016-01-01,4379,150,
Track and Field,Women's 400 metres Hurdles,2016-01-01,4407,146,
Track and Field,Men's 4 x 400 metres Relay,2016-01-01,4420,67,
Track and Field,Women's Discus Throw,2016-01-01,4523,86,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,4654,94,
Track and Field,"Men's 5,000 metres",2016-01-01,4662,15,
Track and Field,Men's Hammer Throw,2016-01-01,4674,189,
Track and Field,Men's Marathon,2016-01-01,4745,170,
Track and Field,"Women's 10,000 metres",2016-01-01,4747,97,
Track and Field,Women's 800 metres,2016-01-01,4776,125,
Track and Field,"Women's 1,500 metres",2016-01-01,4776,125,
Track and Field,Men's 50 kilometres Walk,2016-01-01,4782,94,Bronze
Track and Field,Men's Javelin Throw,2016-01-01,4787,94,
Swimming,Swimming Women's 100 metres Butterfly,2016-01-01,4809,149,
Swimming,Swimming Women's 10 kilometres Open Water,2016-01-01,4844,74,
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,4848,192,
Track and Field,Men's Decathlon,2016-01-01,4866,26,
Track and Field,Men's Marathon,2016-01-01,4869,39,
Track and Field,Men's 50 kilometres Walk,2016-01-01,4871,39,
Track and Field,Men's 20 kilometres Walk,2016-01-01,4874,39,
Track and Field,Women's Shot Put,2016-01-01,4903,26,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,4937,42,
Track and Field,Men's 20 kilometres Walk,2016-01-01,4938,173,
Track and Field,Women's 20 kilometres Walk,2016-01-01,4972,42,
Track and Field,Men's Pole Vault,2016-01-01,4991,102,
Track and Field,Men's 20 kilometres Walk,2016-01-01,5006,42,
Swimming,Swimming Women's 10 kilometres Open Water,2016-01-01,5009,57,
Track and Field,Women's Marathon,2016-01-01,5050,42,
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,5053,5,
Gymnastics,Gymnastics Men's Individual All-Around,2016-01-01,5056,189,
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,5056,189,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,5056,189,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,5056,189,
Gymnastics,Gymnastics Men's Rings,2016-01-01,5056,189,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,5056,189,
Track and Field,"Men's 10,000 metres",2016-01-01,5065,189,
Track and Field,Women's Marathon,2016-01-01,5103,100,
Track and Field,Women's Marathon,2016-01-01,5127,128,
Track and Field,Men's Shot Put,2016-01-01,5191,147,
Track and Field,Men's 800 metres,2016-01-01,5309,148,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,5311,173,
Swimming,Swimming Women's 100 metres Freestyle,2016-01-01,5335,119,
Track and Field,Women's 20 kilometres Walk,2016-01-01,5340,151,
Track and Field,Men's 20 kilometres Walk,2016-01-01,5358,57,
Track and Field,Women's Discus Throw,2016-01-01,5378,121,
Track and Field,Women's 200 metres,2016-01-01,5393,51,
Track and Field,Women's 800 metres,2016-01-01,5443,18,
Track and Field,Men's Long Jump,2016-01-01,5444,89,
Track and Field,Women's 400 metres Hurdles,2016-01-01,5475,198,
Track and Field,Women's Discus Throw,2016-01-01,5508,173,
Track and Field,Men's 110 metres Hurdles,2016-01-01,5523,195,
Swimming,Swimming Men's 200 metres Butterfly,2016-01-01,5528,131,
Swimming,Swimming Men's 200 metres Individual Medley,2016-01-01,5528,131,
Track and Field,Women's 200 metres,2016-01-01,5542,73,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,5542,73,Bronze
Track and Field,Women's Discus Throw,2016-01-01,5560,195,
Track and Field,Men's 100 metres,2016-01-01,5561,93,
Track and Field,Men's 200 metres,2016-01-01,5561,93,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,5561,93,Gold
Swimming,Swimming Women's 400 metres Freestyle,2016-01-01,5577,11,
Swimming,Swimming Women's 800 metres Freestyle,2016-01-01,5577,11,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,5577,11,Silver
Track and Field,Women's Triple Jump,2016-01-01,5677,67,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,5687,63,
Track and Field,Women's 800 metres,2016-01-01,5688,63,
Track and Field,Women's 100 metres,2016-01-01,5723,134,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,5723,134,
Swimming,Swimming Men's 100 metres Backstroke,2016-01-01,5781,190,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,5783,179,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,5801,43,
Track and Field,Men's 4 x 400 metres Relay,2016-01-01,5808,67,
Swimming,Swimming Women's 100 metres Breaststroke,2016-01-01,5817,93,
Track and Field,Men's 20 kilometres Walk,2016-01-01,5835,189,
Track and Field,Women's Marathon,2016-01-01,5848,160,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,5853,106,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,5886,83,
Swimming,Swimming Men's 200 metres Freestyle,2016-01-01,5901,12,
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,5901,12,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,5901,12,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,5947,155,
Gymnastics,Gymnastics Men's Individual All-Around,2016-01-01,5948,67,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,5948,67,
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,5948,67,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,5948,67,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,5948,67,
Gymnastics,Gymnastics Men's Rings,2016-01-01,5948,67,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,5948,67,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,5965,64,
Track and Field,Women's Marathon,2016-01-01,5967,147,
Track and Field,Men's 50 kilometres Walk,2016-01-01,5975,146,
Track and Field,Men's Decathlon,2016-01-01,6050,67,
Swimming,Swimming Women's 200 metres Backstroke,2016-01-01,6140,189,
Track and Field,Men's Marathon,2016-01-01,6196,143,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,6202,63,
Track and Field,"Women's 5,000 metres",2016-01-01,6204,63,Bronze
Track and Field,"Women's 10,000 metres",2016-01-01,6204,63,Gold
Swimming,Swimming Men's 10 kilometres Open Water,2016-01-01,6218,29,
Track and Field,Women's Marathon,2016-01-01,6219,189,
Track and Field,Women's 20 kilometres Walk,2016-01-01,6226,96,
Track and Field,Men's 400 metres Hurdles,2016-01-01,6309,163,
Track and Field,Women's 400 metres,2016-01-01,6311,147,
Track and Field,Women's 800 metres,2016-01-01,6377,118,
Swimming,Swimming Women's 100 metres Butterfly,2016-01-01,6385,201,
Track and Field,Men's High Jump,2016-01-01,6406,52,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,6427,86,
Track and Field,Men's Triple Jump,2016-01-01,6433,13,
Track and Field,Men's High Jump,2016-01-01,6660,11,
Track and Field,Men's Javelin Throw,2016-01-01,6663,149,
Swimming,Swimming Women's 200 metres Breaststroke,2016-01-01,6739,171,
Track and Field,Men's 20 kilometres Walk,2016-01-01,6778,26,
Track and Field,"Women's 1,500 metres",2016-01-01,6843,178,
Track and Field,Men's 100 metres,2016-01-01,6888,7,
Track and Field,Men's Discus Throw,2016-01-01,6911,195,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,6912,93,Gold
Track and Field,Men's 110 metres Hurdles,2016-01-01,6969,84,
Track and Field,Men's High Jump,2016-01-01,7014,73,
Swimming,Swimming Women's 100 metres Backstroke,2016-01-01,7020,195,Silver
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,7020,195,Gold
Track and Field,Women's 800 metres,2016-01-01,7048,175,
Swimming,Swimming Men's 100 metres Breaststroke,2016-01-01,7133,96,
Swimming,Swimming Men's 200 metres Breaststroke,2016-01-01,7133,96,Gold
Track and Field,Women's 800 metres,2016-01-01,7187,108,
Track and Field,Men's 4 x 400 metres Relay,2016-01-01,7226,26,
Track and Field,"Men's 5,000 metres",2016-01-01,7246,15,
Swimming,Swimming Women's 200 metres Freestyle,2016-01-01,7347,67,
Swimming,Swimming Women's 400 metres Freestyle,2016-01-01,7347,67,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,7347,67,
Track and Field,Men's Pole Vault,2016-01-01,7348,52,
Swimming,Swimming Men's 100 metres Backstroke,2016-01-01,7354,84,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,7354,84,
Track and Field,Men's 200 metres,2016-01-01,7379,42,
Track and Field,Women's Long Jump,2016-01-01,7387,62,
Track and Field,Women's 400 metres,2016-01-01,7435,134,
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,7439,92,
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,7475,138,
Track and Field,Men's High Jump,2016-01-01,7532,74,
Track and Field,Men's 50 kilometres Walk,2016-01-01,7593,193,
Track and Field,Women's 100 metres,2016-01-01,7604,187,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,7604,187,
Swimming,Swimming Men's 200 metres Freestyle,2016-01-01,7608,95,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,7609,95,
Swimming,Swimming Women's 200 metres Individual Medley,2016-01-01,7678,146,
Swimming,Swimming Men's 100 metres Breaststroke,2016-01-01,7707,180,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,7715,103,
Track and Field,Women's 20 kilometres Walk,2016-01-01,7728,131,
Track and Field,Men's Pole Vault,2016-01-01,7740,34,
Gymnastics,Gymnastics Women's Individual All-Around,2016-01-01,7769,26,
Gymnastics,Gymnastics Women's Team All-Around,2016-01-01,7769,26,
Gymnastics,Gymnastics Women's Floor Exercise,2016-01-01,7769,26,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,7769,26,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,7769,26,
Track and Field,Women's 400 metres Hurdles,2016-01-01,7775,147,
